latitude,longitude,water_type
51.4987987008798,-2.54449240879932,other
51.5023899736853,-2.54148701287532,other
51.4971970666691,-2.54879443129985,other
51.5055937374778,-2.55068960732044,other
51.5040873897748,-2.5433523661215,other
51.4979021242156,-2.552948971454,pond
51.498316353029,-2.54572876864864,other
51.5033015142012,-2.55469690638087,other
51.4999936914995,-2.5433312036772,pond
51.5011198138545,-2.54859189332681,pond
51.4987205772073,-2.55285142060685,pond
51.50209810321,-2.56142409316152,other
51.5038571003152,-2.55965152164743,other
51.5023264476415,-2.5609073265945,other
51.5046194134708,-2.55722383528888,other
